Date,Close,High,Low,Open,Volume
2022-01-03,192.1583251953125,193.6436126018528,191.0443667227825,192.46466625408956,2055600
2022-01-04,202.4438934326172,203.22366291025804,193.03092141038167,193.3465403658911,5242300
2022-01-05,203.994140625,207.34530773382545,202.53670128539153,202.53670128539153,5378200
2022-01-06,206.0735626220703,206.7419405353593,202.42533199830538,205.60941208032798,3913200
2022-01-07,208.11582946777344,209.76820432111603,206.29635304787607,206.5469983153328,3673400
2022-01-10,205.7486572265625,209.56397535103855,204.7925082174986,208.82133163090862,3734900
2022-01-11,204.17979431152344,206.16635780898974,201.06070250417227,206.08281412172332,2944300
2022-01-12,206.45411682128906,207.65163292804633,204.29118816488602,206.19419369953897,2506900
2022-01-13,210.72434997558594,211.54125947737452,206.67695660770272,206.90903188300624,5002300
2022-01-14,212.52525329589844,213.1750612243735,207.54955889896718,208.60782157241243,3970600
2022-01-18,213.38856506347656,213.9084114027365,210.59438390757919,211.38344549272398,5411900
2022-01-19,206.76564025878906,214.3679982767948,206.08468209542923,214.22808316568265,4991700
2022-01-20,202.0736083984375,206.9614988603591,201.52324247658615,206.22458896634072,3545600
2022-01-21,199.7042999267578,202.89449261096937,198.14651665377465,202.89449261096937,3754700
2022-01-24,199.92816162109375,200.5251564436473,192.77354667939682,196.97117052864257,5107300
2022-01-25,199.90948486328125,202.26015800825758,193.18396718294412,197.82933320345134,4554300
2022-01-26,199.890869140625,204.1724568776723,197.9786293977405,200.5531672580228,3558500
2022-01-27,197.91331481933594,203.25828563577946,196.02904397537984,200.74905113171272,3678100
2022-01-28,187.6431121826172,194.02349683559905,183.57608062191642,191.77543271103627,10747300
2022-01-31,188.01622009277344,188.0535402727632,181.5985155484469,186.04800048592202,6179000
2022-02-01,191.5515594482422,191.961981792837,187.06475434110595,187.30729281004633,4026400
2022-02-02,191.16912841796875,191.97134157870508,187.86698954774812,189.54604200434505,3492300
2022-02-03,187.11143493652344,192.0366463931962,186.64503222863033,191.22511023617614,2748200
2022-02-04,185.07794189453125,187.50322764426642,183.2869570500633,186.75699463418317,3930800
2022-02-07,186.3931884765625,187.98827779643491,184.723458780542,185.4790289040059,2402000
2022-02-08,187.96026611328125,188.71583612154126,185.84279411759866,186.80358242853163,2407100
2022-02-09,189.91917419433594,190.38557686747185,188.51062901203827,189.02367479918377,2743700
2022-02-10,189.42478942871094,192.85750628776,188.01624423950366,188.9583867532871,3538500
2022-02-11,187.71774291992188,190.89859816232615,186.68232847186368,189.75125163344413,3826700
2022-02-14,186.45846557617188,188.14684102518137,184.79807314969443,187.44723699491908,2730500
2022-02-15,189.74192810058594,190.71203934275619,186.57038156370635,187.2140194933532,2752600
2022-02-16,189.95648193359375,191.61687432690917,189.35948707569923,189.46209623409425,2253900
2022-02-17,181.65451049804688,188.20279350107367,181.37466605942228,187.49386659224018,4699600
2022-02-18,179.05198669433594,182.4753806706923,178.33372257899742,180.36724567303258,4385200
2022-02-22,178.36175537109375,181.80379589240036,177.74610029242763,179.05202236824994,3488000
2022-02-23,174.12677001953125,179.39712869762016,173.84692557258742,178.83743980373254,3550400
2022-02-24,172.2798309326172,172.8208597705285,167.59714385747375,169.79856516224214,5919500
2022-02-25,174.4905548095703,175.30209085501536,171.74810498685085,172.5130121547023,3594600
2022-02-28,174.9756317138672,176.0856723732848,171.32835932820365,171.95333721344713,5168500
2022-03-01,170.5447998046875,175.5726199526324,168.50195385926912,175.15286040178145,5110600
2022-03-02,179.66766357421875,180.55382593106648,172.56901332175227,172.75557157053882,5849900
2022-03-03,181.75711059570312,183.37085971005195,179.4157602837887,180.32991968664965,4429700
2022-03-04,182.51266479492188,182.8391380675851,177.52215139235656,178.25907545473902,4334700
2022-03-07,183.48280334472656,189.8258823586908,180.60976125506397,181.70114176994406,6912300
2022-03-08,195.88909912109375,200.45051614557437,189.35946248372397,190.17099848251257,9318600
2022-03-09,195.6839141845703,199.24723761753157,193.510475911088,198.28644920151967,4798300
2022-03-10,197.5587921142578,202.90377575440098,194.19136502742063,195.32006549684644,4886300
2022-03-11,200.3945770263672,203.13702705979136,198.03458060625297,198.03458060625297,4045500
2022-03-14,200.96359252929688,203.7993146102616,198.62224192556764,201.7658057221817,3530700
2022-03-15,201.9150390625,202.7732182201195,196.3648362077382,201.59787444688567,4364200
2022-03-16,201.5605926513672,204.7414624831598,198.0532494694827,202.88517461208124,4378700
2022-03-17,206.80291748046875,206.87754360718787,199.9374703905706,200.85162976777116,3600400
2022-03-18,206.0660400390625,206.80295002698605,203.35157296555124,204.73212094342904,4105100
2022-03-21,208.6779022216797,211.79346884052376,206.14067039591373,206.14999332585728,2902200
2022-03-22,207.7450408935547,210.6740484906239,206.46708816129373,209.37744990349563,2461500
2022-03-23,207.24134826660156,209.67597062751364,206.79360571559448,206.79360571559448,2001700
2022-03-24,207.2786865234375,209.88120723036266,206.62571138082546,207.58649976857936,2110900
2022-03-25,208.3513946533203,208.76183126716052,206.28056572602074,207.1667279240051,1581100
2022-03-28,206.94290161132812,207.7171176349371,204.32170625412408,207.39996718749703,3072500
2022-03-29,206.18727111816406,206.55106460500727,201.989647392983,205.96340696224757,3667800
2022-03-30,208.09024047851562,210.70209857246581,205.87015896363576,207.0828088894142,2507400
2022-03-31,207.8477020263672,210.05844622674937,207.483894263286,208.21149555596782,3152100
2022-04-01,205.00265502929688,210.3662862960874,203.51016063557998,209.274905641993,2618300
2022-04-04,205.9727325439453,206.47645536820343,202.04563026788557,204.43360951827918,2181300
2022-04-05,201.5045928955078,207.42789765779713,200.68371972566223,205.21715378311936,3582100
2022-04-06,201.6818389892578,202.54001815219172,199.2005734898198,200.66507040079506,2783300
2022-04-07,201.3926544189453,201.77510800008477,199.2098934780425,200.9822320515409,2253600
2022-04-08,202.4467315673828,203.2396217596924,199.64831568884904,201.29004788020302,2450200
2022-04-11,201.53256225585938,204.06045632630074,201.25271785478873,202.44670734811112,2494700
2022-04-12,202.138916015625,204.7321137437544,200.53448967877773,200.97290933090926,2508200
2022-04-13,203.6034393310547,204.91868413205154,201.85908354839606,202.35346927338742,1898900
2022-04-14,212.5023956298828,213.81765465826712,203.92058880735195,205.13323867252586,5337900
2022-04-18,214.47059631347656,218.63091428104343,212.67961181672172,212.67961181672172,3644000
2022-04-19,216.56005859375,217.28764551088938,212.2784861428579,214.77839724616194,2689400
2022-04-20,219.2838897705078,220.48720244431124,216.95187632761082,217.85669868213327,2907700
2022-04-21,216.9425506591797,221.91439073120807,216.0843571975647,221.29875000750036,3571400
2022-04-22,202.7333984375,215.37727974363716,202.07730616653012,214.07446284066168,5053700
2022-04-25,203.10829162597656,203.38947809659595,196.42550421369882,201.80547480378678,4145500
2022-04-26,197.10971069335938,204.51420659834562,196.21929880125157,202.5740471535834,4176700
2022-04-27,200.54014587402344,202.03041549233654,194.29786664420894,197.86889600579354,3358300
2022-04-28,199.11549377441406,199.6028827138132,189.33030163904849,194.41971822916477,6092800
2022-04-29,197.33465576171875,203.58631742059987,196.9784995726769,199.35918123288243,3404000
2022-05-02,198.76870727539062,199.42479952650325,194.6353046407734,196.82853343809495,2639500
2022-05-03,200.2214813232422,201.85235149136838,197.56898075347848,198.6093607345396,2121100
2022-05-04,208.62887573242188,209.284968004,200.4183189443751,201.4680665789001,3023700
2022-05-05,202.3865966796875,209.15375050104353,200.36208541842896,208.45079142792542,3005600
2022-05-06,201.1868896484375,203.39886819894247,197.15660223081554,203.39886819894247,2268400
2022-05-09,193.3512420654297,198.7499772379489,192.55456364708215,198.7312276570055,2929900
2022-05-10,190.2582244873047,196.37865376969677,188.75857272029202,195.17893807678232,3040400
2022-05-11,192.33897399902344,196.5567282735625,190.82057273500726,192.66701297266675,2552400
2022-05-12,190.2957000732422,192.46081165883564,186.79965440260295,190.8393234547519,3282000
2022-05-13,191.51417541503906,193.51058379905663,190.19260889880942,192.282736580068,2323800
2022-05-16,194.1947784423828,196.08808544330412,190.90492101328744,192.16088535549082,2540800
2022-05-17,199.72470092773438,200.36205783652696,196.02245317931272,199.45289641631055,2275900
2022-05-18,194.8977508544922,204.23303944895915,194.50409548501364,200.42768990892716,4723300
2022-05-19,193.79171752929688,196.1536635977624,189.0584720567592,192.94817251285596,2887700
2022-05-20,185.41249084472656,193.6699144176497,181.86956398050467,193.50119680423967,5404500
2022-05-23,191.345458984375,192.60142343050217,186.66844698207154,187.39014135208794,3246600
2022-05-24,192.75135803222656,192.79822482735483,188.66482234728207,189.33966415226286,2467800
2022-05-25,196.18177795410156,196.91285410483178,191.97340626879944,192.14210954893588,3080200
2022-05-26,199.6310272216797,200.2402527529085,197.20346413314866,198.28134339067532,2016000
2022-05-27,203.52069091796875,203.9799626173455,200.72760447094788,201.51491512553295,2020400
2022-05-31,202.31161499023438,204.41111014457516,200.09963666566952,201.31808754556883,3773500
2022-06-01,203.92372131347656,205.26402290873173,200.85881614501048,204.75789873404986,2314000
2022-06-02,206.20132446289062,206.98863517842256,203.6238079071045,205.8170367439743,1784100
2022-06-03,208.91943359375,210.0441795671168,204.56109300304067,204.56109300304067,2222500
